spine_angle,spine_lateral_tilt,shoulder_rotation,hip_rotation,x_factor,lead_arm_angle,trail_elbow_angle,wrist_hinge,lead_knee_flex,trail_knee_flex,stance_width,shoulder_width,stance_width_ratio,head_lateral,head_vertical,frame
-5.07960786001457,-71.56505100519065,-71.56505117707799,-63.43494882292201,8.13010235415598,159.48668092195916,152.74467162006337,177.33699894776328,176.13926734913233,170.1864821319239,17.029386365926403,3.1622776601683795,5.385164790105118,0.0,0.0,17
-5.31454566994475,3.3664606614540844,176.63353933657018,180.0,3.3664606634298195,155.55604521306344,169.47489211240347,155.5560451935034,169.38034471490607,176.54668372223486,17.0,17.029386365926403,0.9982743725887889,0.0,0.0,18
-9.03948280335512,8.74616225593142,171.2538377374448,180.0,8.746162262555202,162.14968168821517,178.78112462166152,151.92751304308243,178.73049515164618,171.7028550200389,3.1622776601683795,13.152946437965905,0.24042351823438188,0.0,0.0,19
-5.440332031005506,7.125016344494429,172.8749836510982,180.0,7.125016348901795,155.55604521306344,176.06521789966072,141.51980173718846,178.06941251111368,177.36756509524147,17.029386365926403,16.1245154965971,1.056117708402407,0.0,0.0,20
-7.275004957889255,-18.434948803823417,-18.43494882292201,-33.690067525979785,15.255118703057775,166.86597768031868,149.12318691670035,155.55604518481002,173.07278185940686,178.1523896862839,18.027756377319946,9.486832980505138,1.9002923731621457,0.0,0.0,21
-5.31454566994475,3.8140748317551423,176.18592516570965,180.0,3.814074834290352,153.56606021177205,177.44890484740012,157.38013502551536,179.99957294245627,173.99099402751045,5.0,15.033296378372908,0.3325950523976307,0.0,0.0,22
-5.440332031005506,6.709836803845959,173.29016319224309,180.0,6.709836807756915,155.5560452126288,178.4176459628333,155.5560451935034,176.82016985289397,173.00480768852475,14.317821063276353,17.11724276862369,0.8364560372513205,0.0,0.0,23
-5.31454566994475,6.340191742416264,173.6598082540901,-174.28940686250036,347.9492151165905,149.85861444333682,173.34079270912,171.86989755131077,176.0164741632863,177.03637931248286,18.027756377319946,18.110770276274835,0.9954163236768675,0.0,0.0,24
-7.765166018425333,9.462322202863836,170.53767779197437,-174.28940686250036,344.82708465447473,151.83747262091103,176.06521789966072,167.34744344861986,172.10665570567608,175.7026133140835,19.026297590440446,18.24828759089466,1.042634684774896,0.0,0.0,25
-6.34019174590991,6.009005954355031,173.99099404250546,-174.28940686250036,348.2804009050058,148.02307966630394,174.9078848437957,165.42578375930577,172.85442541144926,179.6688139251105,18.027756377319946,19.1049731745428,0.9436158953578435,0.0,0.0,26
